activity,channel,real_num_windows,syn_num_windows,real_mean,syn_mean,abs_mean_diff,real_std,syn_std,abs_std_diff,histogram_overlap_higher_better,ks_statistic_lower_better,real_abs_derivative_mean,syn_abs_derivative_mean,abs_derivative_mean_diff,real_spike_rate_real_99pct_threshold,syn_spike_rate_real_99pct_threshold,fft_logmag_mae_lower_better,fft_logmag_corr_higher_better
1,ACC_x,4534,1000,-0.5877004861831665,-0.7429525256156921,0.15525203943252563,0.7471023201942444,0.597366988658905,0.14973533153533936,0.5646734662756396,0.21763999999999994,0.011643195524811745,0.029199594631791115,0.01755639910697937,0.009439011357544692,0.012136986301369864,0.274149090051651,0.9680588650146327
1,ACC_y,4534,1000,-0.09792658686637878,-0.21238508820533752,0.11445850133895874,0.5560644268989563,0.40926626324653625,0.14679816365242004,0.59080769774206,0.33714,0.003985929302871227,0.010152588598430157,0.0061666592955589294,0.009406640153931547,0.016170254403131114,0.18928590416908264,0.9470406309986517
1,ACC_z,4534,1000,-0.11617935448884964,-0.3429885506629944,0.22680919617414474,1.002625584602356,0.7119239568710327,0.29070162773132324,0.5934182435832047,0.30233,0.009623649530112743,0.025428764522075653,0.01580511499196291,0.009534830120239599,0.012465753424657534,0.27888190746307373,0.9434859620607717
1,BVP,4534,1000,3.415633545955643e-05,0.016706455498933792,0.016672299163474236,0.5297690629959106,0.5533630847930908,0.023594021797180176,0.9558737619582598,0.04088000000000003,0.04597527161240578,0.06804018467664719,0.02206491306424141,0.00999968060412435,0.010814090019569471,0.32778751850128174,0.9940206681794803
1,EDA,4534,1000,-0.6501874923706055,-0.7425535321235657,0.0923660397529602,0.37810084223747253,0.17635636031627655,0.20174448192119598,0.278722037659903,0.31024,3.569036198314279e-05,0.0023384224623441696,0.002302732100361027,0.009527492647420619,0.8861037181996086,0.08573473989963531,0.9865814711274475
1,TEMP,4534,1000,-1.1433045864105225,-1.0803141593933105,0.06299042701721191,0.14623670279979706,0.08578842133283615,0.06044828146696091,0.5454525917029664,0.32709,2.8853681214968674e-05,0.002365312073379755,0.0023364583921647863,0.007252012841440665,0.890853228962818,0.07796620577573776,0.9948661181347283
2,ACC_x,3205,1000,0.5344972610473633,0.4359862506389618,0.09851101040840149,0.7350582480430603,0.8020030856132507,0.06694483757019043,0.8506457439547582,0.13515999999999995,0.11247482895851135,0.18256916105747223,0.07009433209896088,0.009858617436673984,0.015518590998043053,0.34706276655197144,0.9982356879044374
2,ACC_y,3205,1000,1.0734657049179077,0.9609552025794983,0.11251050233840942,1.2484663724899292,0.8987812995910645,0.34968507289886475,0.6900296960315913,0.21703999999999996,0.0983489379286766,0.15700654685497284,0.058657608926296234,0.009972187537207947,0.027665362035225047,0.34785187244415283,0.9982090682816549
2,ACC_z,3205,1000,-0.5604164600372314,-0.8297730684280396,0.2693566083908081,0.6131955981254578,0.6972832679748535,0.08408766984939575,0.7699176457683308,0.23556000000000002,0.07890906184911728,0.14411285519599915,0.06520379334688187,0.009862280988304111,0.01952641878669276,0.3832188844680786,0.9978238783112401
2,BVP,3205,1000,6.770178151782602e-05,0.010089399293065071,0.010021697511547245,0.8870730996131897,0.9257965683937073,0.03872346878051758,0.9334758129387675,0.038410000000000055,0.09280916303396225,0.14069975912570953,0.047890596091747284,0.009999664174433905,0.014925636007827788,0.4937504827976227,0.9903140872952043
2,EDA,3205,1000,-0.21534736454486847,-0.2910715937614441,0.07572422921657562,0.9599681496620178,0.5973777770996094,0.36259037256240845,0.37829918157663806,0.38479,0.000351080612745136,0.006170427426695824,0.005819346813950688,0.009977072272714783,0.6223776908023483,0.13860376179218292,0.9650781873038536
2,TEMP,3205,1000,-1.1971709728240967,-1.1588104963302612,0.03836047649383545,0.16759778559207916,0.08279112726449966,0.0848066583275795,0.4396858607156786,0.37895,2.9512206310755573e-05,0.0050125098787248135,0.004982997672414058,0.007501732554625082,0.945839530332681,0.13975954055786133,0.9916837929591246
3,ACC_x,2277,1000,-0.2776961922645569,-0.5300320386886597,0.2523358464241028,0.8936052918434143,0.9223589301109314,0.02875363826751709,0.8249658027283706,0.18371999999999997,0.15807072818279266,0.22012759745121002,0.06205686926841736,0.009986704447693132,0.01145009784735812,0.1840379536151886,0.9983692376033533
3,ACC_y,2277,1000,0.7492396831512451,0.5712242722511292,0.17801541090011597,0.8674299716949463,0.5833603739738464,0.28406959772109985,0.5586533310345301,0.33824000000000004,0.059727657586336136,0.10955613851547241,0.049828480929136276,0.00999701773972173,0.011853228962818005,0.27119147777557373,0.9928097235302693
