activity,channel,real_num_windows,syn_num_windows,real_mean,syn_mean,abs_mean_diff,real_std,syn_std,abs_std_diff,histogram_overlap_higher_better,ks_statistic_lower_better,real_abs_derivative_mean,syn_abs_derivative_mean,abs_derivative_mean_diff,real_spike_rate_real_99pct_threshold,syn_spike_rate_real_99pct_threshold,fft_logmag_mae_lower_better,fft_logmag_corr_higher_better
1,ACC_x,4534,4534,-0.5877004861831665,-0.621092677116394,0.03339219093322754,0.7471023201942444,0.46725863218307495,0.27984368801116943,0.5813325361160124,0.27951,0.011643195524811745,0.028982335701584816,0.01733914017677307,0.009439011357544692,0.001493823142734564,0.2547726035118103,0.8501908904466451
1,ACC_y,4534,4534,-0.09792658686637878,-0.06129699945449829,0.03662958741188049,0.5560644268989563,0.4757760167121887,0.08028841018676758,0.6185026501157919,0.17697000000000002,0.003985929302871227,0.032387685030698776,0.02840175572782755,0.009406640153931547,0.17818491640028764,0.3709052503108978,0.8232532094455589
1,ACC_z,4534,4534,-0.11617935448884964,-0.010618424974381924,0.10556092951446772,1.002625584602356,0.6295777559280396,0.3730478286743164,0.64444595693648,0.19451000000000002,0.009623649530112743,0.028011305257678032,0.01838765572756529,0.009534830120239599,0.0034594026261246837,0.29575878381729126,0.8429596095929053
1,BVP,4534,4534,3.415633545955643e-05,0.002606776310130954,0.0025726199746713974,0.5297690629959106,0.6718836426734924,0.1421145796775818,0.8495490667732686,0.08950000000000002,0.04597527161240578,0.06230786442756653,0.01633259281516075,0.00999968060412435,0.004055032772606538,0.2010871171951294,0.9724745240971889
1,EDA,4534,4534,-0.6501874923706055,-0.4305645525455475,0.21962293982505798,0.37810084223747253,0.37733158469200134,0.0007692575454711914,0.26804379066497575,0.62757,3.569036198314279e-05,0.028110738843679428,0.028075048481696285,0.009527492647420619,0.9914880999139357,0.4156250059604645,0.7659221449282549
1,TEMP,4534,4534,-1.1433045864105225,-1.1037235260009766,0.0395810604095459,0.14623670279979706,0.16440580785274506,0.018169105052947998,0.6953753928650197,0.15918000000000002,2.8853681214968674e-05,0.027314413338899612,0.027285559657684644,0.007252012841440665,0.991459181638708,0.3408268392086029,0.8810196255655998
2,ACC_x,3205,3205,0.5344972610473633,0.26564788818359375,0.26884937286376953,0.7350582480430603,0.5404873490333557,0.1945708990097046,0.6914970505070204,0.28876999999999997,0.11247482895851135,0.041313860565423965,0.07116096839308739,0.009858617436673984,0.0,0.6389867663383484,0.8314377618914056
2,ACC_y,3205,3205,1.0734657049179077,0.7710716128349304,0.3023940920829773,1.2484663724899292,0.6647186279296875,0.5837477445602417,0.5325778812402495,0.35636999999999996,0.0983489379286766,0.04324920475482941,0.0550997331738472,0.009972187537207947,0.0,0.5063615441322327,0.8450936066806021
2,ACC_z,3205,3205,-0.5604164600372314,-0.2557171881198883,0.30469927191734314,0.6131955981254578,0.535188615322113,0.07800698280334473,0.7347906103744151,0.26992,0.07890906184911728,0.038977399468421936,0.03993166238069534,0.009862280988304111,0.0,0.5177264213562012,0.8395652207373693
2,BVP,3205,3205,6.770178151782602e-05,-0.0070460205897688866,0.007113722371286713,0.8870730996131897,0.6937646269798279,0.19330847263336182,0.9102702076833074,0.04426000000000002,0.09280916303396225,0.06806061416864395,0.0247485488653183,0.009999664174433905,0.00013127726674624714,0.18979531526565552,0.9477032838901926
2,EDA,3205,3205,-0.21534736454486847,-0.10699761658906937,0.1083497479557991,0.9599681496620178,0.4566989541053772,0.5032691955566406,0.3670369783541342,0.49991,0.000351080612745136,0.032164402306079865,0.03181332169333473,0.009977072272714783,0.9323970923611895,0.42322683334350586,0.8161381895161333
